Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Data Analytics for Developing and Validating Credit Models","Analytical Techniques in the Assessment of Credit Risk","","","","10.1007/978-3-319-99411-6_3","Michalis DoumposChristos LemonakisDimitrios NiklisConstantin Zopounidis","2019","http://link.springer.com/chapter/10.1007/978-3-319-99411-6_3","Chapter"
"Preference Disaggregation for Multicriteria Decision Aiding: An Overview and Perspectives","New Perspectives in Multiple Criteria Decision Making","","","","10.1007/978-3-030-11482-4_4","Michalis DoumposConstantin Zopounidis","2019","http://link.springer.com/chapter/10.1007/978-3-030-11482-4_4","Chapter"
"Operations Research and Emergent Technologies","Management Science","","","","10.1007/978-3-030-13229-3_8","Gema CallejaJordi OlivellaMariona Vilà","2019","http://link.springer.com/chapter/10.1007/978-3-030-13229-3_8","Chapter"
"Data mining combined to the multicriteria decision analysis for the improvement of road safety: case of France","Journal of Big Data","","6","1","10.1186/s40537-018-0165-0","Fatima Zahra El MazouriMohammed Chaouki AbounaimaKhalid Zenkouar","2019","http://link.springer.com/article/10.1186/s40537-018-0165-0","Article"
"MCDMSR: multicriteria decision making selection/replacement based on agility strategy for real optimization problems","Applied Intelligence","","49","8","10.1007/s10489-019-01414-7","HongGuang ZhangRui WangHuaJian LiuHan LuoYuanan Liu","2019","http://link.springer.com/article/10.1007/s10489-019-01414-7","Article"
"Interpretation of Multicriteria Decision Making Models with Interacting Criteria","New Perspectives in Multiple Criteria Decision Making","","","","10.1007/978-3-030-11482-4_6","Michel GrabischChristophe Labreuche","2019","http://link.springer.com/chapter/10.1007/978-3-030-11482-4_6","Chapter"
"A SMARTS-Choquet’s approach for multicriteria decision aid applied to the innovation indexes in sustainability dimensions","Soft Computing","","23","16","10.1007/s00500-018-3353-0","Marcela do Carmo SilvaGilson Brito Alves LimaCarlos Francisco Simões GomesLuis Alberto Duncan RangelRodrigo Goyannes Gusmão Caiado","2019","http://link.springer.com/article/10.1007/s00500-018-3353-0","Article"
"Use of the McHargian LUSA in agricultural research and decision-making in the age of non-stationarity and big earth observation data","Socio-Ecological Practice Research","","1","3 - 4","10.1007/s42532-019-00022-6","Theodore C Lim","2019","http://link.springer.com/article/10.1007/s42532-019-00022-6","Article"
"A review of cost–benefit analysis and multicriteria decision analysis from the perspective of sustainable transport in project evaluation","EURO Journal on Decision Processes","","7","3 - 4","10.1007/s40070-019-00098-1","Francis Marleau DonaisIrène Abi-ZeidE. Owen D. WaygoodRoxane Lavoie","2019","http://link.springer.com/article/10.1007/s40070-019-00098-1","Article"
"A review on methods and software for fuzzy cognitive maps","Artificial Intelligence Review","","52","3","10.1007/s10462-017-9575-1","Gerardo FelixGonzalo NápolesRafael FalconWojciech FroelichKoen VanhoofRafael Bello","2019","http://link.springer.com/article/10.1007/s10462-017-9575-1","Article"
"Digital Humanities and Big Microdata: New Approaches for Demographic Research","Towards Mathematics, Computers and Environment: A Disasters Perspective","","","","10.1007/978-3-030-21205-6_11","Pier Francesco De MariaLeonardo Tomazeli DuarteÁlvaro de Oliveira D’AntonaCristiano Torezzan","2019","http://link.springer.com/chapter/10.1007/978-3-030-21205-6_11","Chapter"
"Industry 4.0 technologies basic network identification","Scientometrics","","121","2","10.1007/s11192-019-03216-7","Matheus Becker Da CostaLeonardo Moraes Aguiar Lima Dos SantosJones Luís SchaeferIsmael Cristofer BaierleElpidio Oscar Benitez Nara","2019","http://link.springer.com/article/10.1007/s11192-019-03216-7","Article"
"Energy Efficiency in Big Data Analysis","Encyclopedia of Big Data Technologies","","","","10.1007/978-3-319-77525-8_141","Carmela Comito","2019","http://link.springer.com/referenceworkentry/10.1007/978-3-319-77525-8_141","ReferenceWorkEntry"
"Digital Environment: Information Analytical Postprocessing Using the Scientometric and Data Analysis Methods","Scientific and Technical Information Processing","","46","2","10.3103/S0147688219020047","O. V. Syuntyurenko","2019","http://link.springer.com/article/10.3103/S0147688219020047","Article"
"Applications of Interval B&BT Methods","Interval Methods for Solving Nonlinear Constraint Satisfaction, Optimization and Similar Problems","","","","10.1007/978-3-030-13795-3_9","Bartłomiej Jacek Kubica","2019","http://link.springer.com/chapter/10.1007/978-3-030-13795-3_9","Chapter"
"New Directions in Ordinal Evaluation: Sugeno Integrals and Beyond","New Perspectives in Multiple Criteria Decision Making","","","","10.1007/978-3-030-11482-4_7","Miguel CouceiroDidier DuboisHélène FargierMichel GrabischHenri PradeAgnès Rico","2019","http://link.springer.com/chapter/10.1007/978-3-030-11482-4_7","Chapter"
"Complex network analysis of keywords co-occurrence in the recent efficiency analysis literature","Scientometrics","","120","2","10.1007/s11192-019-03132-w","S. LozanoL. Calzada-InfanteB. Adenso-DíazS. García","2019","http://link.springer.com/article/10.1007/s11192-019-03132-w","Article"
"A TOPSIS Approach of Ranking Classifiers for Stock Index Price Movement Prediction","Soft Computing in Data Analytics","","","","10.1007/978-981-13-0514-6_63","Rajashree DashSidharth SamalRasmita RautrayRasmita Dash","2019","http://link.springer.com/chapter/10.1007/978-981-13-0514-6_63","Chapter"
"Planning Quality and Risk Management","PMP® in Depth","","","","10.1007/978-1-4842-3910-0_7","Paul Sanghera","2019","http://link.springer.com/chapter/10.1007/978-1-4842-3910-0_7","Chapter"
"Web Services Classification Across Cloud-Based Applications","Soft Computing: Theories and Applications","","","","10.1007/978-981-13-0589-4_23","M. Swami DasA. GovardhanD. Vijaya Lakshmi","2019","http://link.springer.com/chapter/10.1007/978-981-13-0589-4_23","Chapter"
"Managing Execution of Project Work","PMP® in Depth","","","","10.1007/978-1-4842-3910-0_9","Paul Sanghera","2019","http://link.springer.com/chapter/10.1007/978-1-4842-3910-0_9","Chapter"
"Overview of Numerical Methods: Introduction to Analytical Methods in Sports","Biomechanical Principles and Applications in Sports","","","","10.1007/978-3-030-13467-9_5","James J. Cochran","2019","http://link.springer.com/chapter/10.1007/978-3-030-13467-9_5","Chapter"
"A Hybrid Enhanced Scatter Search—Composite I-Distance Indicator (eSS-CIDI) Optimization Approach for Determining Weights Within Composite Indicators","Social Indicators Research","","144","2","10.1007/s11205-018-02056-x","Milica MaricicJose A. EgeaVeljko Jeremic","2019","http://link.springer.com/article/10.1007/s11205-018-02056-x","Article"
"Project Integration Management","CAPM® in Depth","","","","10.1007/978-1-4842-3664-2_3","Paul Sanghera","2019","http://link.springer.com/chapter/10.1007/978-1-4842-3664-2_3","Chapter"
