Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Uncertainty-Based Multi-Objective Decision Making with Hierarchical Reliability Analysis Under Water Resources and Environmental Constraints","Water Resources Management","","30","2","10.1007/s11269-015-1192-7","Feifei DongYong LiuHan SuZhongyao LiangRui ZouHuaicheng Guo","2016","http://link.springer.com/article/10.1007/s11269-015-1192-7","Article"
"A GIS-based flood susceptibility assessment and its mapping in Iran: a comparison between frequency ratio and weights-of-evidence bivariate statistical models with multi-criteria decision-making technique","Natural Hazards","","83","2","10.1007/s11069-016-2357-2","Khabat KhosraviEbrahim NohaniEdris MaroufiniaHamid Reza Pourghasemi","2016","http://link.springer.com/article/10.1007/s11069-016-2357-2","Article"
"Harnessing the Big Data Paradigm for ICME: Shifting from Materials Selection to Materials Enabled Design","JOM","","68","8","10.1007/s11837-016-2019-6","Scott R. BroderickGanesh Ram SanthanamKrishna Rajan","2016","http://link.springer.com/article/10.1007/s11837-016-2019-6","Article"
"Multi-criteria intuitionistic fuzzy group decision analysis with TOPSIS method for selecting appropriate cloud solution to manage big data projects","International Journal of System Assurance Engineering and Management","","7","3","10.1007/s13198-016-0455-x","Nitin SachdevaOmpal SinghP. K. KapurDiego Galar","2016","http://link.springer.com/article/10.1007/s13198-016-0455-x","Article"
"Multi-criteria decision making for choosing socially responsible investment within a behavioral portfolio theory framework: a new way of investing into a crisis environment","Annals of Operations Research","","247","2","10.1007/s10479-015-1947-9","Amelia Bilbao-TerolMar Arenas-ParraVerónica Cañal-FernándezCelia Bilbao-Terol","2016","http://link.springer.com/article/10.1007/s10479-015-1947-9","Article"
"Hybrid Multi-criteria Decision-Making Approach for Supplier Evaluation in Fuzzy Environment","Proceedings of Fifth International Conference on Soft Computing for Problem Solving","","","","10.1007/978-981-10-0451-3_86","Nidhi BhayanaKanika GandhiP. C. Jha","2016","http://link.springer.com/chapter/10.1007/978-981-10-0451-3_86","Chapter"
"Generalized intuitionistic fuzzy multiplicative interactive geometric operators and their application to multiple criteria decision making","International Journal of Machine Learning and Cybernetics","","7","6","10.1007/s13042-015-0432-8","Harish Garg","2016","http://link.springer.com/article/10.1007/s13042-015-0432-8","Article"
"Pareto-based multi-objective optimization for classification in data mining","Cluster Computing","","19","4","10.1007/s10586-016-0643-0","Narendra Kumar KamilaLambodar JenaHemanta Kumar Bhuyan","2016","http://link.springer.com/article/10.1007/s10586-016-0643-0","Article"
"Multiple Criteria Decision Analysis and Sustainable Development","Multiple Criteria Decision Analysis","","","","10.1007/978-1-4939-3094-4_27","Giuseppe Munda","2016","http://link.springer.com/chapter/10.1007/978-1-4939-3094-4_27","Chapter"
"Decision Support System in Product Engineering","Research in Interactive Design (Vol. 4)","","","","10.1007/978-3-319-26121-8_13","César OteroPierpaolo Valentini","2016","http://link.springer.com/chapter/10.1007/978-3-319-26121-8_13","Chapter"
