Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Aggregation Operators and Soft Computing","Computational Complexity","","","","10.1007/978-1-4614-1800-9_9","Vicenç Torra","2012","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-1800-9_9","ReferenceWorkEntry"
"Identification of the Compound Subjective Rule Interestingness Measure for Rule-Based Functional Description of Genes","Artificial Intelligence: Methodology, Systems, and Applications","","","","10.1007/978-3-642-33185-5_14","Aleksandra GrucaMarek Sikora","2012","http://link.springer.com/chapter/10.1007/978-3-642-33185-5_14","Chapter"
"Research on the Multi-classifier Fusion Model Based on Choquet Integral","Future Control and Automation","","","","10.1007/978-3-642-31003-4_15","Tie-song LiCheng JinYong-hua CaiYong Mi","2012","http://link.springer.com/chapter/10.1007/978-3-642-31003-4_15","Chapter"
"Community-Based Operations Research: Introduction, Theory, and Applications","Community-Based Operations Research","","","","10.1007/978-1-4614-0806-2_1","Michael P. Johnson","2012","http://link.springer.com/chapter/10.1007/978-1-4614-0806-2_1","Chapter"
"Evolutionary Optimization: Pitfalls and Booby Traps","Journal of Computer Science and Technology","","27","5","10.1007/s11390-012-1274-4","Thomas WeiseRaymond ChiongKe Tang","2012","http://link.springer.com/article/10.1007/s11390-012-1274-4","Article"
"Decision making process: typology, intelligence, and optimization","Journal of Intelligent Manufacturing","","23","3","10.1007/s10845-010-0424-1","Behnam Malakooti","2012","http://link.springer.com/article/10.1007/s10845-010-0424-1","Article"
"Label Ranking: A New Rule-Based Label Ranking Method","Advances on Computational Intelligence","","","","10.1007/978-3-642-31709-5_62","Massimo GurrieriXavier SiebertPhilippe FortempsSalvatore GrecoRoman Słowiński","2012","http://link.springer.com/chapter/10.1007/978-3-642-31709-5_62","Chapter"
"Swarm Intelligence Optimization: Applications of Particle Swarms in Industrial Engineering and Nuclear Power Plants","Computational Intelligence Systems in Industrial Engineering","","","","10.2991/978-94-91216-77-0_9","Miltiadis AlamaniotisAndreas IkonomopoulosLefteri H. Tsoukalas","2012","http://link.springer.com/chapter/10.2991/978-94-91216-77-0_9","Chapter"
"Granular Computing and Data Mining for Ordered Data: The Dominance-Based Rough Set Approach","Computational Complexity","","","","10.1007/978-1-4614-1800-9_84","Salvatore GrecoBenedetto MatarazzoRoman Słowiński","2012","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-1800-9_84","ReferenceWorkEntry"
"Combined DEMATEL technique with hybrid MCDM methods for creating the aspired intelligent global manufacturing & logistics systems","Annals of Operations Research","","197","1","10.1007/s10479-010-0829-4","Gwo-Hshiung TzengChi-Yo Huang","2012","http://link.springer.com/article/10.1007/s10479-010-0829-4","Article"
"Social Welfare to Assess the Global Legibility of a Generalized Map","Geographic Information Science","","","","10.1007/978-3-642-33024-7_15","Guillaume Touya","2012","http://link.springer.com/chapter/10.1007/978-3-642-33024-7_15","Chapter"
"Genetic algorithm-based multi-criteria project portfolio selection","Annals of Operations Research","","197","1","10.1007/s10479-010-0819-6","Lean YuShouyang WangFenghua WenKin Keung Lai","2012","http://link.springer.com/article/10.1007/s10479-010-0819-6","Article"
"Dynamic multiple criteria decision making in changeable spaces: from habitual domains to innovation dynamics","Annals of Operations Research","","197","1","10.1007/s10479-010-0750-x","Po-Lung YuYen-Chu Chen","2012","http://link.springer.com/article/10.1007/s10479-010-0750-x","Article"
"A new approach to use AHP in landslide susceptibility mapping: a case study at Yenice (Karabuk, NW Turkey)","Natural Hazards","","63","2","10.1007/s11069-012-0218-1","Gökçe Deniz HasekioğullarıMurat Ercanoglu","2012","http://link.springer.com/article/10.1007/s11069-012-0218-1","Article"
"Linguistic Aggregation Operators","Linguistic Decision Making","","","","10.1007/978-3-642-29440-2_2","Zeshui Xu","2012","http://link.springer.com/chapter/10.1007/978-3-642-29440-2_2","Chapter"
"Global awareness, future city design and decision making","Journal of Systems Science and Systems Engineering","","21","3","10.1007/s11518-012-5196-z","Thomas L. SaatyMujgan Sagir","2012","http://link.springer.com/article/10.1007/s11518-012-5196-z","Article"
"On the Semantics of Bipolarity and Fuzziness","Eurofuse 2011","","","","10.1007/978-3-642-24001-0_19","J. Tinguaro RodríguezCamilo A. FrancoJavier Montero","2012","http://link.springer.com/chapter/10.1007/978-3-642-24001-0_19","Chapter"
"Impact of policies favouring organic inputs on small farms in Karnataka, India: a multicriteria approach","Environment, Development and Sustainability","","14","4","10.1007/s10668-012-9340-1","Seema PurushothamanSheetal PatilIerene Francis","2012","http://link.springer.com/article/10.1007/s10668-012-9340-1","Article"
"Groundwater quality assessment based on rough sets attribute reduction and TOPSIS method in a semi-arid area, China","Environmental Monitoring and Assessment","","184","8","10.1007/s10661-011-2306-1","Peiyue LiJianhua WuHui Qian","2012","http://link.springer.com/article/10.1007/s10661-011-2306-1","Article"
"A Performance Improvement Method for Existing Fingerprint Systems","Biometric Recognition","","","","10.1007/978-3-642-35136-5_15","Chunxiao RenYilong YinYanbin Ning","2012","http://link.springer.com/chapter/10.1007/978-3-642-35136-5_15","Chapter"
"Evolutionary algorithm with fuzzy numbers for planning active distribution network","Electrical Engineering","","94","3","10.1007/s00202-011-0225-3","Tomislav CapuderMatija ZidarDavor Škrlec","2012","http://link.springer.com/article/10.1007/s00202-011-0225-3","Article"
"Adaptive robust image watermark approach based on fuzzy comprehensive evaluation and analytic hierarchy process","Signal, Image and Video Processing","","6","2","10.1007/s11760-011-0256-2","Cong Jin","2012","http://link.springer.com/article/10.1007/s11760-011-0256-2","Article"
"Criteria for the Evaluation of a Cloud-Based Hospital Information System Outsourcing Provider","Journal of Medical Systems","","36","6","10.1007/s10916-012-9829-z","Chinyao LowYa Hsueh Chen","2012","http://link.springer.com/article/10.1007/s10916-012-9829-z","Article"
"Multiobjective Optimization via Parametric Optimization: Models, Algorithms, and Applications","Modeling and Optimization: Theory and Applications","","","","10.1007/978-1-4614-3924-0_5","Oleksandr RomankoAlireza Ghaffari-HadighehTamás Terlaky","2012","http://link.springer.com/chapter/10.1007/978-1-4614-3924-0_5","Chapter"
"Determination of storage tanks location for optimal short-term scheduling in multipurpose/multiproduct batch-continuous plants under uncertainties","Annals of Operations Research","","199","1","10.1007/s10479-011-0970-8","Guillermo A. DurandFernando D. MeleJ. Alberto Bandoni","2012","http://link.springer.com/article/10.1007/s10479-011-0970-8","Article"
