Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Assessment of Financial Risk Prediction Models with Multi-criteria Decision Making Methods","Neural Information Processing","","","","10.1007/978-3-642-34481-7_8","Jose Salvador SánchezVicente GarcíaAna Isabel Marqués","2012","http://link.springer.com/chapter/10.1007/978-3-642-34481-7_8","Chapter"
"Genetic algorithm-based multi-criteria project portfolio selection","Annals of Operations Research","","197","1","10.1007/s10479-010-0819-6","Lean YuShouyang WangFenghua WenKin Keung Lai","2012","http://link.springer.com/article/10.1007/s10479-010-0819-6","Article"
"A multi-criteria decision support for optimal instrumentation in scoliosis spine surgery","Structural and Multidisciplinary Optimization","","45","6","10.1007/s00158-011-0732-x","Marcelo Elias de OliveiraCarol-Claudius HaslerGuoyan ZhengDaniel StuderJacques SchneiderPhilippe Büchler","2012","http://link.springer.com/article/10.1007/s00158-011-0732-x","Article"
"Selection of Information-Intensive Services: A Multi-criteria Decision Model","E-Business and Telecommunications","","","","10.1007/978-3-642-35755-8_7","Tobias MettlerMarkus Eurich","2012","http://link.springer.com/chapter/10.1007/978-3-642-35755-8_7","Chapter"
"Lazy Meta-Learning: Creating Customized Model Ensembles on Demand","Advances in Computational Intelligence","","","","10.1007/978-3-642-30687-7_1","Piero P. Bonissone","2012","http://link.springer.com/chapter/10.1007/978-3-642-30687-7_1","Chapter"
"A Reinforcement Learning Based Hybrid Evolutionary Algorithm for Ship Stability Design","Variants of Evolutionary Algorithms for Real-World Applications","","","","10.1007/978-3-642-23424-8_9","Osman TuranHao Cui","2012","http://link.springer.com/chapter/10.1007/978-3-642-23424-8_9","Chapter"
"A mutation operator based on a Pareto ranking for multi-objective evolutionary algorithms","Journal of Heuristics","","18","1","10.1007/s10732-011-9156-4","P. M. MateoI. Alberto","2012","http://link.springer.com/article/10.1007/s10732-011-9156-4","Article"
"Fuzzy Portfolio Selection Models: A Numerical Study","Financial Decision Making Using Computational Intelligence","","","","10.1007/978-1-4614-3773-4_10","Enriqueta VercherJosé D. Bermúdez","2012","http://link.springer.com/chapter/10.1007/978-1-4614-3773-4_10","Chapter"
"Development of simulation-based AHP-DPSO algorithm for generating multi-criteria production–distribution plan","The International Journal of Advanced Manufacturing Technology","","60","1 - 4","10.1007/s00170-011-3606-x","P. Ashoka VarthananN. MuruganG. Mohan KumarS. Parameswaran","2012","http://link.springer.com/article/10.1007/s00170-011-3606-x","Article"
"Aggregation Operators and Soft Computing","Computational Complexity","","","","10.1007/978-1-4614-1800-9_9","Vicenç Torra","2012","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-1800-9_9","ReferenceWorkEntry"
