Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Subjective Weights Based Meta-Learning in Multi-criteria Decision Making","Advances in Soft Computing, Intelligent Robotics and Control","","","","10.1007/978-3-319-05945-7_7","Hamido FujitaYu-Chien Ko","2014","http://link.springer.com/chapter/10.1007/978-3-319-05945-7_7","Chapter"
"Multi-disciplinary multi-objective design optimization of sounding rocket fins","International Journal of Advances in Engineering Sciences and Applied Mathematics","","6","3 - 4","10.1007/s12572-015-0121-6","Pankaj PriyadarshiMofeez AlamKamal Saroha","2014","http://link.springer.com/article/10.1007/s12572-015-0121-6","Article"
"Net earthquake hazard and elements at risk (NEaR) map creation for city of Istanbul via spatial multi-criteria decision analysis","Natural Hazards","","73","2","10.1007/s11069-014-1099-2","Himmet KaramanTuran Erden","2014","http://link.springer.com/article/10.1007/s11069-014-1099-2","Article"
"Applications of quantum inspired computational intelligence: a survey","Artificial Intelligence Review","","42","1","10.1007/s10462-012-9330-6","A. ManjuM. J. Nigam","2014","http://link.springer.com/article/10.1007/s10462-012-9330-6","Article"
"Epistemic Considerations on Expert Disagreement, Normative Justification, and Inconsistency Regarding Multi-criteria Decision Making","Constraint Programming and Decision Making","","","","10.1007/978-3-319-04280-0_5","Luciana Garbayo","2014","http://link.springer.com/chapter/10.1007/978-3-319-04280-0_5","Chapter"
"Multi-Criteria Analysis of Grid Expansion Concepts on the Low Voltage Level","Zeitschrift für Energiewirtschaft","","38","3","10.1007/s12398-014-0134-z","Tobias LühnGerrit SchlömerGenoveva SchmidtmannBianca LehdeJohannes SchmiesingProf. Dr. Lutz HofmannProf. Dr. Jutta Geldermann","2014","http://link.springer.com/article/10.1007/s12398-014-0134-z","Article"
"Algorithms for Similarity Relation Learning from High Dimensional Data","Transactions on Rough Sets XVII","","","","10.1007/978-3-642-54756-0_7","Andrzej Janusz","2014","http://link.springer.com/chapter/10.1007/978-3-642-54756-0_7","Chapter"
"Policy-Making 2.0: Unleashing the Power of Big Data for Public Governance","Open Government","","","","10.1007/978-1-4614-9563-5_11","Gianluca MisuracaFrancesco MuredduDavid Osimo","2014","http://link.springer.com/chapter/10.1007/978-1-4614-9563-5_11","Chapter"
"Multi Criteria Supplier Selection Using Fuzzy PROMETHEE Method","Supply Chain Management Under Fuzziness","","","","10.1007/978-3-642-53939-8_2","Ozlem SenvarGülfem TuzkayaCengiz Kahraman","2014","http://link.springer.com/chapter/10.1007/978-3-642-53939-8_2","Chapter"
"Ontological specification of quality of chronic disease data in EHRs to support decision analytics: a realist review","Decision Analytics","","1","1","10.1186/2193-8636-1-5","Alireza RahimiSiaw-Teng LiawPradeep RayJane TaggartHairong Yu","2014","http://link.springer.com/article/10.1186/2193-8636-1-5","Article"
"Design of integrated information system and supply chain for selection of new facility and suppliers by a unique hybrid meta-heuristic computer simulation algorithm","The International Journal of Advanced Manufacturing Technology","","71","5 - 8","10.1007/s00170-013-5417-8","A. AzadehA. KeramatiA. KarimiZ. Jiryaei SharahiP. Pourhaji","2014","http://link.springer.com/article/10.1007/s00170-013-5417-8","Article"
"Low Carbon Industrial Chains","Innovative Approaches Towards Low Carbon Economics","","","","10.1007/978-3-642-45429-5_9","Jiuping XuLiming YaoYi Lu","2014","http://link.springer.com/chapter/10.1007/978-3-642-45429-5_9","Chapter"
"Risk Assessment in Hydroenergy Projects: Learning from Experts and Data","Handbook of Renewable Energy","","","","10.1007/978-3-642-39487-4_5-1","Serhat Kucukali","2014","http://link.springer.com/referenceworkentry/10.1007/978-3-642-39487-4_5-1","ReferenceWorkEntry"
"Sustainability Awareness and Expertise: Structuring the Cognitive Processes for Solving Wicked Problems and Achieving an Adaptive-State","Sustainable Cities and Military Installations","","","","10.1007/978-94-007-7161-1_5","D. S. SweetT. P. Seager Ph.D.S. TylockJ. BullockI. Linkov Ph.D.D. J. ColomboUwe Unrath","2014","http://link.springer.com/chapter/10.1007/978-94-007-7161-1_5","Chapter"
"Aerodynamic Shape Optimization in Aeronautics: A Fast and Effective Multi-Objective Approach","Archives of Computational Methods in Engineering","","21","3","10.1007/s11831-014-9123-y","Claudio Comis Da RoncoRita PonzaErnesto Benini","2014","http://link.springer.com/article/10.1007/s11831-014-9123-y","Article"
"Multi-Criteria Evaluation of Small-Scale Sprinkler Irrigation Systems Using Grey Relational Analysis","Water Resources Management","","28","13","10.1007/s11269-014-0765-1","Qin TuHong LiXinkun WangChao ChenYin LuoFrank Agyen Dwomoh","2014","http://link.springer.com/article/10.1007/s11269-014-0765-1","Article"
"An integrated fuzzy MCDM approach and analysis to evaluate the financial performance of Iranian cement companies","The International Journal of Advanced Manufacturing Technology","","71","1 - 4","10.1007/s00170-013-5370-6","Rohollah MoghimiAlireza Anvari","2014","http://link.springer.com/article/10.1007/s00170-013-5370-6","Article"
"Green Energy and Technology: Choosing Among Alternatives","Renewable Energy Integration","","","","10.1007/978-981-4585-27-9_1","Brian Azzopardi","2014","http://link.springer.com/chapter/10.1007/978-981-4585-27-9_1","Chapter"
"Platform selection for complex systems: Building automation systems","Journal of Systems Science and Systems Engineering","","23","4","10.1007/s11518-014-5258-5","Geerten van de KaaHenk Jan de VriesJafar Rezaei","2014","http://link.springer.com/article/10.1007/s11518-014-5258-5","Article"
"Methods and Algorithms for Fuzzy Cognitive Map-based Modeling","Fuzzy Cognitive Maps for Applied Sciences and Engineering","","","","10.1007/978-3-642-39739-4_1","Elpiniki I. PapageorgiouJose L. Salmeron","2014","http://link.springer.com/chapter/10.1007/978-3-642-39739-4_1","Chapter"
"Construction project risk assessment by using adaptive-network-based fuzzy inference system: An empirical study","KSCE Journal of Civil Engineering","","18","5","10.1007/s12205-014-0139-5","Mehdi EbratReza Ghodsi","2014","http://link.springer.com/article/10.1007/s12205-014-0139-5","Article"
"Energy-efficient machining systems: a critical review","The International Journal of Advanced Manufacturing Technology","","72","9 - 12","10.1007/s00170-014-5756-0","Tao PengXun Xu","2014","http://link.springer.com/article/10.1007/s00170-014-5756-0","Article"
"Collaboration and Decision Making in Data-Intensive and Cognitively-Complex Settings: Lessons Learned from the Dicode Project","Mastering Data-Intensive Collaboration and Decision Making","","","","10.1007/978-3-319-02612-1_11","Spyros ChristodoulouManolis TzagarakisNikos KaracapilidisFan Yang-TurnerLydia LauVania Dimitrova","2014","http://link.springer.com/chapter/10.1007/978-3-319-02612-1_11","Chapter"
"From Operations Research to Dynamic Data Mining and Beyond","Zukunftsperspektiven des Operations Research","","","","10.1007/978-3-658-05707-7_22","Prof. Dr. Richard Weber","2014","http://link.springer.com/chapter/10.1007/978-3-658-05707-7_22","Chapter"
"Mechanism for Adaptation of Group Decision-making in Multi-agent E-Learning Environment","E-Learning Paradigms and Applications","","","","10.1007/978-3-642-41965-2_9","Denis Mušić","2014","http://link.springer.com/chapter/10.1007/978-3-642-41965-2_9","Chapter"
