Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Reviewing the Novel Machine Learning Tools for Materials Design","Recent Advances in Technology Research and Education","","","","10.1007/978-3-319-67459-9_7","Amir MosaviTimon RabczukAnnamária R. Varkonyi-Koczy","2018","http://link.springer.com/chapter/10.1007/978-3-319-67459-9_7","Chapter"
"Some hybrid weighted aggregation operators under neutrosophic set environment and their applications to multicriteria decision-making","Applied Intelligence","","48","12","10.1007/s10489-018-1244-9","Harish GargNancy","2018","http://link.springer.com/article/10.1007/s10489-018-1244-9","Article"
"Systematic Review of an Automated Multiclass Detection and Classification System for Acute Leukaemia in Terms of Evaluation and Benchmarking, Open Challenges, Issues and Methodological Aspects","Journal of Medical Systems","","42","11","10.1007/s10916-018-1064-9","M. A. AlsalemA. A. ZaidanB. B. ZaidanM. HashimO. S. AlbahriA. S. AlbahriAli HadiK. I. Mohammed","2018","http://link.springer.com/article/10.1007/s10916-018-1064-9","Article"
"A Comprehensive Survey on Healthcare Management","Operations Research Applications in Health Care Management","","","","10.1007/978-3-319-65455-3_2","Sezi Cevik OnarBasar OztaysiCengiz Kahraman","2018","http://link.springer.com/chapter/10.1007/978-3-319-65455-3_2","Chapter"
"Soft Computing Techniques and Sustainability Science, an Introduction","Soft Computing for Sustainability Science","","","","10.1007/978-3-319-62359-7_1","Carlos Cruz Corona","2018","http://link.springer.com/chapter/10.1007/978-3-319-62359-7_1","Chapter"
"Energy Efficiency in Big Data Analysis","Encyclopedia of Big Data Technologies","","","","10.1007/978-3-319-63962-8_141-1","Carmela Comito","2018","http://link.springer.com/referenceworkentry/10.1007/978-3-319-63962-8_141-1","ReferenceWorkEntry"
"Architecting Cyber-Secure, Resilient System-of-Systems","Disciplinary Convergence in Systems Engineering Research","","","","10.1007/978-3-319-62217-0_12","Kurt KlingensmithAzad M. Madni","2018","http://link.springer.com/chapter/10.1007/978-3-319-62217-0_12","Chapter"
"Qualitative Judgement of Research Impact: Domain Taxonomy as a Fundamental Framework for Judgement of the Quality of Research","Journal of Classification","","35","1","10.1007/s00357-018-9247-0","Fionn MurtaghMichael OrlovBoris Mirkin","2018","http://link.springer.com/article/10.1007/s00357-018-9247-0","Article"
"Case Studies of Math Education for STEM in Russia","Modern Mathematics Education for Engineering Curricula in Europe","","","","10.1007/978-3-319-71416-5_7","Seppo PohjolainenTuomas MyllykoskiChristian MercatSergey Sosnovsky","2018","http://link.springer.com/chapter/10.1007/978-3-319-71416-5_7","Chapter"
"Rough sets: past, present, and future","Natural Computing","","17","4","10.1007/s11047-018-9700-3","Andrzej SkowronSoma Dutta","2018","http://link.springer.com/article/10.1007/s11047-018-9700-3","Article"
"Real-Time Remote Health-Monitoring Systems in a Medical Centre: A Review of the Provision of Healthcare Services-Based Body Sensor Information, Open Challenges and Methodological Aspects","Journal of Medical Systems","","42","9","10.1007/s10916-018-1006-6","O. S. AlbahriA. A. ZaidanB. B. ZaidanM. HashimA. S. AlbahriM. A. Alsalem","2018","http://link.springer.com/article/10.1007/s10916-018-1006-6","Article"
"Simulation of multicriteria data","EURO Journal on Decision Processes","","6","1 - 2","10.1007/s40070-017-0069-9","Jairo CugliariAntoine Rolland","2018","http://link.springer.com/article/10.1007/s40070-017-0069-9","Article"
