Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Multi-objective Decision in Machine Learning","Journal of Control, Automation and Electrical Systems","","28","2","10.1007/s40313-016-0295-6","Talles Henrique de MedeirosHonovan Paz RochaFrank Sill TorresRicardo Hiroshi Caldeira TakahashiAntônio Pádua Braga","2017","http://link.springer.com/article/10.1007/s40313-016-0295-6","Article"
"Multi-objective design of post-tensioned concrete road bridges using artificial neural networks","Structural and Multidisciplinary Optimization","","56","1","10.1007/s00158-017-1653-0","Tatiana García-SeguraVíctor YepesDan M. Frangopol","2017","http://link.springer.com/article/10.1007/s00158-017-1653-0","Article"
"Mining and prioritization of association rules for big data: multi-criteria decision analysis approach","Journal of Big Data","","4","1","10.1186/s40537-017-0105-4","Addi Ait-MloukTarik AgoutiFatima Gharnati","2017","http://link.springer.com/article/10.1186/s40537-017-0105-4","Article"
"An improved approach for association rule mining using a multi-criteria decision support system: a case study in road safety","European Transport Research Review","","9","3","10.1007/s12544-017-0257-5","Addi Ait-MloukFatima GharnatiTarik Agouti","2017","http://link.springer.com/article/10.1007/s12544-017-0257-5","Article"
"Grey stochastic multi-criteria decision-making based on regret theory and TOPSIS","International Journal of Machine Learning and Cybernetics","","8","2","10.1007/s13042-015-0459-x","Huan ZhouJian-qiang WangHong-yu Zhang","2017","http://link.springer.com/article/10.1007/s13042-015-0459-x","Article"
"Multi-criteria Decision Analysis","Statistical Tools for Program Evaluation","","","","10.1007/978-3-319-52827-4_11","Jean-Michel JosselinBenoît Le Maux","2017","http://link.springer.com/chapter/10.1007/978-3-319-52827-4_11","Chapter"
"Comparative State-of-the-Art Survey of Classical Fuzzy Set and Intuitionistic Fuzzy Sets in Multi-Criteria Decision Making","International Journal of Fuzzy Systems","","19","3","10.1007/s40815-016-0204-y","Eric Afful-DadzieZuzana Komínková OplatkováLuis Antonio Beltran Prieto","2017","http://link.springer.com/article/10.1007/s40815-016-0204-y","Article"
"CARS 2017—Computer Assisted Radiology and Surgery Proceedings of the 31st International Congress and Exhibition Barcelona, Spain, June 20–24, 2017","International Journal of Computer Assisted Radiology and Surgery","","12","1","10.1007/s11548-017-1588-3","","2017","http://link.springer.com/article/10.1007/s11548-017-1588-3","Article"
"Multi-Criteria Decision-Making Method Based on Distance Measure and Choquet Integral for Linguistic Z-Numbers","Cognitive Computation","","9","6","10.1007/s12559-017-9493-1","Jian-qiang WangYong-xi CaoHong-yu Zhang","2017","http://link.springer.com/article/10.1007/s12559-017-9493-1","Article"
"Assessment of Autonomous Learning Skill Through Multi-criteria Analysis for Online ADE Students in Moodle","Entrepreneurial Universities","","","","10.1007/978-3-319-47949-1_13","Mónica de CastroConcepción de la Fuente-CabreroMa del Pilar Laguna Sánchez","2017","http://link.springer.com/chapter/10.1007/978-3-319-47949-1_13","Chapter"
"Based Real Time Remote Health Monitoring Systems: A Review on Patients Prioritization and Related 'Big Data' Using Body Sensors information and Communication Technology","Journal of Medical Systems","","42","2","10.1007/s10916-017-0883-4","Naser KalidA. A. ZaidanB. B. ZaidanOmar H. SalmanM. HashimH. Muzammil","2017","http://link.springer.com/article/10.1007/s10916-017-0883-4","Article"
"Frontier of Information Visualization and Visual Analytics in 2016","Journal of Visualization","","20","4","10.1007/s12650-017-0431-9","Min LuSiming ChenChufan LaiLijing LinXiaoru Yuan","2017","http://link.springer.com/article/10.1007/s12650-017-0431-9","Article"
"Processes, Systems, and Models","Global Supply Chain and Operations Management","","","","10.1007/978-3-319-24217-0_3","Dmitry IvanovAlexander TsipoulanidisJörn Schönberger","2017","http://link.springer.com/chapter/10.1007/978-3-319-24217-0_3","Chapter"
"A decision-making approach based on fuzzy AHP-TOPSIS methodology for selecting the appropriate cloud solution to manage big data projects","International Journal of System Assurance Engineering and Management","","8","2","10.1007/s13198-017-0592-x","Omar BoutkhoumMohamed HanineTarik AgoutiAbdessadek Tikniouine","2017","http://link.springer.com/article/10.1007/s13198-017-0592-x","Article"
"Dominance Based Monte Carlo Algorithm for Preference Elicitation in the Multi-criteria Sorting Problem: Some Performance Tests","Algorithmic Decision Theory","","","","10.1007/978-3-319-67504-6_4","Tom DenatMeltem Öztürk","2017","http://link.springer.com/chapter/10.1007/978-3-319-67504-6_4","Chapter"
