Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Novel WebGIS-Based Situational Awareness Platform for Trustworthy Big Data Integration and Analytics in Mobility Context","On the Move to Meaningful Internet Systems. OTM 2017 Conferences","","","","10.1007/978-3-319-69459-7_6","Susanna BonuraGiuseppe CammarataRosolino FinazzoGiuseppe FrancavigliaVito Morreale","2017","http://link.springer.com/chapter/10.1007/978-3-319-69459-7_6","Chapter"
"Performance Evaluation and Sensitivity Analysis of Expert-Based, Statistical, Machine Learning, and Hybrid Models for Producing Landslide Susceptibility Maps","Laser Scanning Applications in Landslide Assessment","","","","10.1007/978-3-319-55342-9_11","Biswajeet PradhanMaher Ibrahim SeeniBahareh Kalantar","2017","http://link.springer.com/chapter/10.1007/978-3-319-55342-9_11","Chapter"
"Learning and Intelligent Optimization for Material Design Innovation","Learning and Intelligent Optimization","","","","10.1007/978-3-319-69404-7_31","Amir MosaviTimon Rabczuk","2017","http://link.springer.com/chapter/10.1007/978-3-319-69404-7_31","Chapter"
"Using Active Learning Methods for Predicting Fraudulent Financial Statements","Engineering Applications of Neural Networks","","","","10.1007/978-3-319-65172-9_30","Stamatis KarlosGeorgios KostopoulosSotiris KotsiantisVassilis Tampakas","2017","http://link.springer.com/chapter/10.1007/978-3-319-65172-9_30","Chapter"
"Predictive Computing and Information Security: A Technical Review","Predictive Computing and Information Security","","","","10.1007/978-981-10-5107-4_2","P. K. GuptaVipin TyagiS. K. Singh","2017","http://link.springer.com/chapter/10.1007/978-981-10-5107-4_2","Chapter"
"Some Picture Fuzzy Aggregation Operators and Their Applications to Multicriteria Decision-Making","Arabian Journal for Science and Engineering","","42","12","10.1007/s13369-017-2625-9","Harish Garg","2017","http://link.springer.com/article/10.1007/s13369-017-2625-9","Article"
"Intelligent and Robust Path Planning and Control of Robotic Systems","Mathematical Advances Towards Sustainable Environmental Systems","","","","10.1007/978-3-319-43901-3_13","S. M. RaafatF. A. Raheem","2017","http://link.springer.com/chapter/10.1007/978-3-319-43901-3_13","Chapter"
"Collaboration and Decision-Making in Context","Computer-Supported Collaborative Decision-Making","","","","10.1007/978-3-319-47221-8_1","Florin Gheorghe FilipConstantin-Bălă ZamfirescuCristian Ciurea","2017","http://link.springer.com/chapter/10.1007/978-3-319-47221-8_1","Chapter"
"Task and Context Sensitive Gripper Design Learning Using Dynamic Grasp Simulation","Journal of Intelligent & Robotic Systems","","87","1","10.1007/s10846-017-0492-y","A. WolniakowskiK. MiatliukZ. GosiewskiL. BodenhagenH. G. PetersenL. C. M. W. SchwartzJ. A. JørgensenL.-P. EllekildeN. Krüger","2017","http://link.springer.com/article/10.1007/s10846-017-0492-y","Article"
"A unique fuzzy multivariate modeling approach for performance optimization of maintenance workshops with cognitive factors","The International Journal of Advanced Manufacturing Technology","","90","1 - 4","10.1007/s00170-016-9208-x","A. AzadehS. F. GhaderiS. PashapourA. KeramatiM. Rezaei MalekM. Esmizadeh","2017","http://link.springer.com/article/10.1007/s00170-016-9208-x","Article"
"Cognitive Content Recommendation in Digital Knowledge Repositories – A Survey of Recent Trends","Artificial Intelligence and Soft Computing","","","","10.1007/978-3-319-59060-8_52","Andrzej M. J. Skulimowski","2017","http://link.springer.com/chapter/10.1007/978-3-319-59060-8_52","Chapter"
"Neuro-fuzzy model for evaluating the performance of processes using transfer function","Sādhanā","","42","12","10.1007/s12046-017-0744-3","CHIDOZIE CHUKWUEMEKA NWOBI-OKOYE","2017","http://link.springer.com/article/10.1007/s12046-017-0744-3","Article"
"Data- and expert-driven rule induction and filtering framework for functional interpretation and description of gene sets","Journal of Biomedical Semantics","","8","1","10.1186/s13326-017-0129-x","Aleksandra GrucaMarek Sikora","2017","http://link.springer.com/article/10.1186/s13326-017-0129-x","Article"
"Weekly Predicting the At-Risk MOOC Learners Using Dominance-Based Rough Set Approach","Digital Education: Out to the World and Back to the Campus","","","","10.1007/978-3-319-59044-8_18","Sarra BouzayaneInès Saad","2017","http://link.springer.com/chapter/10.1007/978-3-319-59044-8_18","Chapter"
"Real-World Examples of Applied General Equilibrium Analysis","Applied General Equilibrium","","","","10.1007/978-3-662-54893-6_7","Manuel Alejandro CardeneteAna-Isabel GuerraFerran Sancho","2017","http://link.springer.com/chapter/10.1007/978-3-662-54893-6_7","Chapter"
"An Alternative View of Importance Indices for Multichoice Games","Algorithmic Decision Theory","","","","10.1007/978-3-319-67504-6_6","Mustapha RidaouiMichel GrabischChristophe Labreuche","2017","http://link.springer.com/chapter/10.1007/978-3-319-67504-6_6","Chapter"
"Location Planning and Network Design","Computational Intelligence in Logistics and Supply Chain Management","","","","10.1007/978-3-319-40722-7_6","Thomas HanneRolf Dornberger","2017","http://link.springer.com/chapter/10.1007/978-3-319-40722-7_6","Chapter"
"A study in facial features saliency in face recognition: an analytic hierarchy process approach","Soft Computing","","21","24","10.1007/s00500-016-2305-9","Paweł KarczmarekWitold PedryczAdam KiersztynPrzemysław Rutka","2017","http://link.springer.com/article/10.1007/s00500-016-2305-9","Article"
"Organizational implications of a comprehensive approach for cloud-storage sourcing","Information Systems Frontiers","","19","1","10.1007/s10796-015-9588-8","Venkataraghavan KrishnaswamyR. P. Sundarraj","2017","http://link.springer.com/article/10.1007/s10796-015-9588-8","Article"
"Landslide susceptibility assessment using the certainty factor and analytic hierarchy process","Journal of Mountain Science","","14","5","10.1007/s11629-016-4068-2","Wen FanXin-sheng WeiYan-bo CaoBin Zheng","2017","http://link.springer.com/article/10.1007/s11629-016-4068-2","Article"
"Landslide susceptibility mapping using precipitation data, Mazandaran Province, north of Iran","Natural Hazards","","89","1","10.1007/s11069-017-2962-8","Mohammad Arab AmiriChristian Conoscenti","2017","http://link.springer.com/article/10.1007/s11069-017-2962-8","Article"
"A MCDA-Based Approach for Evaluating Alternative Requalification Strategies for a Net-Zero Energy District (NZED)","Multiple Criteria Decision Making","","","","10.1007/978-3-319-39292-9_10","Cristina BecchioMarta BotteroStefano Paolo CorgnatiFederico Dell’Anna","2017","http://link.springer.com/chapter/10.1007/978-3-319-39292-9_10","Chapter"
"Information visualization for selection in Design by Shopping","Research in Engineering Design","","28","1","10.1007/s00163-016-0235-2","Audrey Abi AkleStéphanie MinelBernard Yannou","2017","http://link.springer.com/article/10.1007/s00163-016-0235-2","Article"
"Financial analysis based sectoral portfolio optimization under second order stochastic dominance","Annals of Operations Research","","256","1","10.1007/s10479-015-2095-y","Amita SharmaAparna Mehra","2017","http://link.springer.com/article/10.1007/s10479-015-2095-y","Article"
"Forest fire risk assessment-an integrated approach based on multicriteria evaluation","Environmental Monitoring and Assessment","","189","12","10.1007/s10661-017-6225-7","Elham GoleijiSeyed Mohsen HosseiniNematollah KhorasaniSeyed Masoud Monavari","2017","http://link.springer.com/article/10.1007/s10661-017-6225-7","Article"
"A Group Decision Outranking Approach for the Agricultural Technology Packages Selection Problem","Group Decision and Negotiation. A Socio-Technical Perspective","","","","10.1007/978-3-319-63546-0_14","Pavel A. Álvarez CarrilloJuan C. Leyva LópezOmar Ahumada Valenzuela","2017","http://link.springer.com/chapter/10.1007/978-3-319-63546-0_14","Chapter"
"Multiobjective reliability-based optimization for crashworthy structures coupled with metal forming process","Structural and Multidisciplinary Optimization","","56","6","10.1007/s00158-017-1825-y","Guangyong SunHuile ZhangRuoyu WangXiaojiang LvQing Li","2017","http://link.springer.com/article/10.1007/s00158-017-1825-y","Article"
"Global Competitiveness of World Superpowers: Education, Talents and Innovations","Empirical Studies on Economics of Innovation, Public Economics and Management","","","","10.1007/978-3-319-50164-2_7","Antanas BuracasVytas Navickas","2017","http://link.springer.com/chapter/10.1007/978-3-319-50164-2_7","Chapter"
"Performance Criteria","Water Resource Systems Planning and Management","","","","10.1007/978-3-319-44234-1_9","Daniel P. LoucksEelco van Beek","2017","http://link.springer.com/chapter/10.1007/978-3-319-44234-1_9","Chapter"
"Electric Energy Storage System","Electric Energy Storage Systems","","","","10.1007/978-3-662-53275-1_2","Przemyslaw KomarnickiPio LombardiZbigniew Styczynski","2017","http://link.springer.com/chapter/10.1007/978-3-662-53275-1_2","Chapter"
"A systematic user-centred framework for engineering product design in small- and medium-sized enterprises (SMEs)","The International Journal of Advanced Manufacturing Technology","","91","5 - 8","10.1007/s00170-016-9857-9","Francesco GherardiniCristina RenziFrancesco Leali","2017","http://link.springer.com/article/10.1007/s00170-016-9857-9","Article"
"A Heuristic Approach to Test the Compatibility of a Preference Information with a Choquet Integral Model","Algorithmic Decision Theory","","","","10.1007/978-3-319-67504-6_5","Lucie GalandBrice Mayag","2017","http://link.springer.com/chapter/10.1007/978-3-319-67504-6_5","Chapter"
"Organisational uptake of scientific information about climate change by infrastructure managers: the case of adaptation of the French railway company","Climatic Change","","143","3 - 4","10.1007/s10584-017-2016-y","Vivian Dépoues","2017","http://link.springer.com/article/10.1007/s10584-017-2016-y","Article"
"Sustainable third-party reverse logistic provider selection with fuzzy SWARA and fuzzy MOORA in plastic industry","The International Journal of Advanced Manufacturing Technology","","91","5 - 8","10.1007/s00170-016-9880-x","Reza Kiani MaviMark GohNavid Zarbakhshnia","2017","http://link.springer.com/article/10.1007/s00170-016-9880-x","Article"
"Development Methodology for Sustainable Solutions","Value Networks in Manufacturing","","","","10.1007/978-3-319-27799-8_13","Christian GrefrathDirk WagnerMarco MacchiMaria Holgado GranadosSebastian Stermann","2017","http://link.springer.com/chapter/10.1007/978-3-319-27799-8_13","Chapter"
"Background on Multiobjective Optimization for Controller Tuning","Controller Tuning with Evolutionary Multiobjective Optimization","","","","10.1007/978-3-319-41301-3_2","Gilberto Reynoso MezaXavier Blasco FerragudJavier Sanchis SaezJuan Manuel Herrero Durá","2017","http://link.springer.com/chapter/10.1007/978-3-319-41301-3_2","Chapter"
"Value chain for next-generation biofuels: resilience and sustainability of the product life cycle","Environment Systems and Decisions","","37","1","10.1007/s10669-016-9618-1","Zachary A. CollierElizabeth B. ConnellyThomas L. PolmateerJames H. Lambert","2017","http://link.springer.com/article/10.1007/s10669-016-9618-1","Article"
"Supporting Multicriteria Group Decisions with MACBETH Tools: Selection of Sustainable Brownfield Redevelopment Actions","Group Decision and Negotiation","","26","3","10.1007/s10726-016-9501-y","Ricardo J. G. MateusJoão C. Bana e CostaPedro Verga Matos","2017","http://link.springer.com/article/10.1007/s10726-016-9501-y","Article"
"Analyzing Multiple Rankings of Influential Nodes in Multiplex Networks","Complex Networks & Their Applications V","","","","10.1007/978-3-319-50901-3_11","Sude TavassoliKatharina A. Zweig","2017","http://link.springer.com/chapter/10.1007/978-3-319-50901-3_11","Chapter"
"Other Metrics that Have Been Proposed to Optimize Drug Development Decisions","Quantitative Decisions in Drug Development","","","","10.1007/978-3-319-46076-5_11","Christy Chuang-SteinSimon Kirby","2017","http://link.springer.com/chapter/10.1007/978-3-319-46076-5_11","Chapter"
"A Survey of Diversity Oriented Optimization: Problems, Indicators, and Algorithms","EVOLVE – A Bridge between Probability, Set Oriented Numerics and Evolutionary Computation VII","","","","10.1007/978-3-319-49325-1_1","Vitor Basto-FernandesIryna YevseyevaAndré DeutzMichael Emmerich","2017","http://link.springer.com/chapter/10.1007/978-3-319-49325-1_1","Chapter"
